"","x"
"1113",-2.77224173597155
"1114",0.636259302544156
"1115",-1.55828795120782
"1116",-1.05090620675875
"1117",-0.586297437600435
"1118",-0.998968128442229
"1119",-2.83473315080857
"1120",1.00052058130272
"1121",-1.9460866261244
"1122",1.21965288677005
"1123",1.18080787192561
"1124",-1.39054362004646
"1125",0.930948177606863
"1126",-0.594702724245922
"1127",-1.78106884633804
"1128",1.20564264312984
"1129",0.813493018995221
"1130",-2.08611319834825
"1131",-1.17874616395497
"1132",0.578280172017902
"1133",-0.91676960610595
"1134",-0.760103362294722
"1135",1.63858034359738
"1136",1.18073649356487
"1137",-1.2159121276939
"1138",-1.02402861507557
"1139",0.987519763679808
"1140",-1.47834330809774
"1141",0.603959223819092
"1142",0.593965174427471
"1143",0.68435946885747
"1144",-2.06993167360271
"1145",1.02698089733015
"1146",-0.679721885484039
"1147",0.910234588932148
"1148",-1.50109603662973
"1149",-0.672795172237723
"1150",1.68031185187392
"1151",0.870714822132972
"1152",0.887794561935707
"1153",0.497888491855074
"1154",0.854794041552476
"1155",-0.68850219452588
"1156",0.986049061709174
"1157",0.936444282187522
"1158",-1.47979638602122
"1159",0.798431637682673
"1160",0.78764240495665
"1161",0.73142479524433
"1162",0.871799020405228
"1163",-2.47524148966515
"1164",-0.977361955919744
"1165",0.888522026295932
"1166",-1.87020070106463
"1167",1.33748065480323
"1168",-0.629201684124921
"1169",-0.949121995970887
"1170",-1.16588814266197
"1171",0.508779460900154
"1172",1.22008091933596
"1173",-1.31667401556621
"1174",0.819021454599926
"1175",-0.542156931100075
"1176",1.32850646455526
"1177",0.496209196418391
"1178",-0.587270055070487
"1179",-1.4714301072964
"1180",0.881340806059901
"1181",-1.76574340806584
"1182",-0.835916947296868
"1183",0.592228253627562
"1184",-2.89489496383122
"1185",-1.11106384437402
"1186",1.62369365046008
"1187",-0.775938526653146
"1188",-1.50143592667625
"1189",-1.29701791423918
"1190",-1.95370510938586
"1191",-1.1994391360815
"1192",-1.14278195862193
"1193",-0.908720684640088
"1194",-0.86646826356245
"1195",-1.11789554736638
